movie_id,year,action,adventure,animation,childrens,comedy,crime,documentary,drama,fantasy,film_noir,horror,musical,mystery,romance,sci_fi,thriller,war,western,movie_avg_rating,movie_n_ratings,event_timestamp,created
1,1996.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.69,300,2024-01-01,2024-01-01
2,1993.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.7023809523809526,336,2024-01-01,2024-01-01
3,2000.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3.7648902821316614,319,2024-01-01,2024-01-01
4,1997.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.793846153846154,325,2024-01-01,2024-01-01
5,1994.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.669724770642202,327,2024-01-01,2024-01-01
6,1996.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.7142857142857144,315,2024-01-01,2024-01-01
7,1999.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3.74,300,2024-01-01,2024-01-01
8,1992.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3.8300653594771243,306,2024-01-01,2024-01-01
9,1996.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.739811912225705,319,2024-01-01,2024-01-01
10,2000.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3.7753164556962027,316,2024-01-01,2024-01-01
11,2000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.6516129032258067,310,2024-01-01,2024-01-01
12,1997.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.7697368421052633,304,2024-01-01,2024-01-01
13,1994.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3.7411003236245954,309,2024-01-01,2024-01-01
14,1993.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3.801916932907348,313,2024-01-01,2024-01-01
15,1997.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3.845117845117845,297,2024-01-01,2024-01-01
16,1997.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.6862745098039214,306,2024-01-01,2024-01-01
17,1992.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.8039867109634553,301,2024-01-01,2024-01-01
18,1995.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.878205128205128,312,2024-01-01,2024-01-01
19,1994.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3.718954248366013,306,2024-01-01,2024-01-01
20,1991.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.814935064935065,308,2024-01-01,2024-01-01
21,1997.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.729483282674772,329,2024-01-01,2024-01-01
22,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.780564263322884,319,2024-01-01,2024-01-01
23,1991.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3.6623376623376624,308,2024-01-01,2024-01-01
24,1994.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3.855384615384615,325,2024-01-01,2024-01-01
25,1990.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.774834437086093,302,2024-01-01,2024-01-01
26,1999.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.8580246913580245,324,2024-01-01,2024-01-01
27,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.7702265372168284,309,2024-01-01,2024-01-01
28,1998.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3.7241379310344827,319,2024-01-01,2024-01-01
29,1990.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3.888198757763975,322,2024-01-01,2024-01-01
30,2000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3.7353846153846155,325,2024-01-01,2024-01-01
31,2000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3.750830564784053,301,2024-01-01,2024-01-01
32,1999.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.7596153846153846,312,2024-01-01,2024-01-01
33,1992.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.7095709570957096,303,2024-01-01,2024-01-01
34,1996.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.801302931596091,307,2024-01-01,2024-01-01
35,1993.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.707070707070707,297,2024-01-01,2024-01-01
36,1998.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.812698412698413,315,2024-01-01,2024-01-01
37,1992.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.8052805280528053,303,2024-01-01,2024-01-01
38,1994.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,3.7868338557993733,319,2024-01-01,2024-01-01
39,1992.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3.7371794871794872,312,2024-01-01,2024-01-01
40,1996.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3.7491749174917492,303,2024-01-01,2024-01-01
41,1994.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.696078431372549,306,2024-01-01,2024-01-01
42,1998.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.8349514563106797,309,2024-01-01,2024-01-01
43,1996.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7142857142857144,308,2024-01-01,2024-01-01
44,1991.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.7737003058103977,327,2024-01-01,2024-01-01
45,1993.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.8456973293768546,337,2024-01-01,2024-01-01
46,1998.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.760655737704918,305,2024-01-01,2024-01-01
47,1991.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.694915254237288,295,2024-01-01,2024-01-01
48,1999.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3.8167202572347265,311,2024-01-01,2024-01-01
49,1998.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.8444444444444446,315,2024-01-01,2024-01-01
50,1999.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.6953642384105962,302,2024-01-01,2024-01-01
51,1994.0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3.700657894736842,304,2024-01-01,2024-01-01
52,1991.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3.753205128205128,312,2024-01-01,2024-01-01
53,1993.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3.8141025641025643,312,2024-01-01,2024-01-01
54,1996.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.8459119496855347,318,2024-01-01,2024-01-01
55,1997.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.7329376854599405,337,2024-01-01,2024-01-01
56,1992.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.7854889589905363,317,2024-01-01,2024-01-01
57,1990.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.8652694610778444,334,2024-01-01,2024-01-01
58,1993.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.787037037037037,324,2024-01-01,2024-01-01
59,1991.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3.793103448275862,319,2024-01-01,2024-01-01
60,1997.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.7781456953642385,302,2024-01-01,2024-01-01
61,1993.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3.748407643312102,314,2024-01-01,2024-01-01
